SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR2008,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,47,37,Tennessee,Davidson County,1,2008,0,626681,303540,323141,203946,210351,81678,94321,1645,1471,9555,9944,380,308,6336,6746,209599,216309,84941,98072,3549,3511,11582,11961,658,612,269983,295581,174490,186321,79961,92770,715,748,9373,9755,158,145,5286,5842,179199,191480,82763,96066,2048,2328,11201,11587,387,401,33557,27560,29456,24030,1717,1551,930,723,182,189,222,163,1050,904,30400,24829,2178,2006,1501,1183,381,374,271,211
50,47,37,Tennessee,Davidson County,1,2008,1,44691,22868,21823,13395,12727,7359,7029,143,148,757,688,34,36,1180,1195,14477,13823,8157,7865,327,321,1082,1014,70,80,18627,17761,9697,9204,7125,6808,35,33,733,664,11,9,1026,1043,10639,10159,7855,7562,142,132,1019,961,44,45,4241,4062,3698,3523,234,221,108,115,24,24,23,27,154,152,3838,3664,302,303,185,189,63,53,26,35
50,47,37,Tennessee,Davidson County,1,2008,2,37613,18977,18636,10725,10271,6559,6591,105,104,655,721,31,28,902,921,11553,11122,7181,7213,268,254,896,974,55,57,15752,15525,7935,7551,6370,6447,27,20,638,694,16,11,766,802,8643,8296,6915,7008,123,114,851,924,33,34,3225,3111,2790,2720,189,144,78,84,17,27,15,17,136,119,2910,2826,266,205,145,140,45,50,22,23
50,47,37,Tennessee,Davidson County,1,2008,3,33904,17479,16425,9476,8593,6725,6522,88,78,536,560,17,20,637,652,10067,9182,7129,6974,216,224,714,706,38,39,15107,14319,7400,6773,6593,6395,26,28,530,544,5,8,553,571,7913,7292,6963,6804,111,133,689,677,20,23,2372,2106,2076,1820,132,127,62,50,6,16,12,12,84,81,2154,1890,166,170,105,91,25,29,18,16
50,47,37,Tennessee,Davidson County,1,2008,4,38999,19674,19325,10910,10374,7385,7600,120,100,696,645,28,21,535,585,11383,10892,7704,7977,260,242,855,814,51,42,17411,17325,8955,8653,7262,7467,56,50,678,629,9,7,451,519,9354,9109,7538,7803,149,160,826,785,29,26,2263,2000,1955,1721,123,133,64,50,18,16,19,14,84,66,2029,1783,166,174,111,82,29,29,22,16
50,47,37,Tennessee,Davidson County,1,2008,5,54479,25940,28539,17041,18065,7331,8756,171,133,823,939,51,30,523,616,17489,18596,7603,9096,323,316,999,1154,83,62,22353,25934,13886,15816,7151,8592,62,52,801,917,15,13,438,544,14257,16286,7388,8894,169,197,966,1117,40,42,3587,2605,3155,2249,180,164,109,81,22,22,36,17,85,72,3232,2310,215,202,154,119,33,37,43,20
50,47,37,Tennessee,Davidson County,1,2008,6,61397,29806,31591,21334,21335,6608,8241,187,170,1095,1207,59,45,523,593,21802,21860,6809,8505,366,353,1300,1425,89,88,25323,28322,17358,18471,6412,8077,64,76,1084,1188,25,25,380,485,17703,18900,6558,8301,154,193,1261,1386,49,61,4483,3269,3976,2864,196,164,123,94,11,19,34,20,143,108,4099,2960,251,204,212,160,39,39,40,27
50,47,37,Tennessee,Davidson County,1,2008,7,52004,26034,25970,18565,17222,5770,7026,168,151,1024,1059,52,30,455,482,18972,17639,5922,7244,324,288,1215,1266,84,51,21905,22923,14925,14527,5564,6869,54,73,1003,1044,13,16,346,394,15230,14867,5680,7046,152,167,1172,1228,37,34,4129,3047,3640,2695,206,157,114,78,21,15,39,14,109,88,3742,2772,242,198,172,121,43,38,47,17
50,47,37,Tennessee,Davidson County,1,2008,8,45150,22927,22223,15908,14137,5495,6688,160,102,962,920,34,24,368,352,16232,14447,5620,6838,314,244,1099,1048,52,44,19773,19870,13116,12060,5373,6560,47,46,943,901,14,10,280,293,13356,12320,5462,6679,153,161,1067,1012,32,27,3154,2353,2792,2077,122,128,113,56,19,19,20,14,88,59,2876,2127,158,159,161,83,32,36,20,17
50,47,37,Tennessee,Davidson County,1,2008,9,40628,20530,20098,14074,12921,5333,6081,123,92,710,692,19,20,271,292,14307,13167,5419,6191,246,223,827,794,32,40,18407,18500,12208,11516,5228,5999,54,56,701,682,7,7,209,240,12386,11714,5292,6082,141,166,803,775,18,23,2123,1598,1866,1405,105,82,69,36,9,10,12,13,62,52,1921,1453,127,109,105,57,24,19,14,17
